status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,27,181189,2018-02-25 14:00:00,0,Stade Matmut-Atlantique,2500946,"Bordeaux - Nice, 0 - 0",Regular,412,away,3775,0,home,3772,0
Played,27,181189,2018-02-24 19:00:00,3804,Stade Gaston-G\u00e9rard,2500947,"Dijon - Caen, 2 - 0",Regular,412,away,3783,0,home,3804,2
Played,27,181189,2018-02-24 19:00:00,0,Stade du Roudourou,2500948,"Guingamp - Metz, 2 - 2",Regular,412,away,3777,2,home,3785,2
Played,27,181189,2018-02-24 19:00:00,3799,Stade Pierre-Mauroy,2500949,"Lille - Angers SCO, 1 - 2",Regular,412,away,3799,2,home,3776,1
Played,27,181189,2018-02-24 19:00:00,3789,Stade de la Beaujoire - Louis Fonteneau,2500951,"Nantes - Amiens SC, 0 - 1",Regular,412,away,3789,1,home,3770,0
Played,27,181189,2018-02-24 19:00:00,3774,Roazhon Park,2500953,"Rennes - Troyes, 2 - 0",Regular,412,home,3774,2,away,3795,0
Played,27,181189,2018-02-24 16:00:00,0,Stadium Municipal,2500955,"Toulouse - Monaco, 3 - 3",Regular,412,home,3780,3,away,19830,3
Played,27,181189,2018-02-23 19:45:00,0,Stade de la Meinau,2500954,"Strasbourg - Montpellier, 0 - 0",Regular,412,home,3779,0,away,3787,0
Played,24,181189,2018-02-20 17:30:00,0,Stade de l'Aube,2500925,"Troyes - Dijon, 0 - 0",Regular,412,away,3804,0,home,3795,0
Played,26,181189,2018-02-18 20:00:00,3771,Stade V\u00e9lodrome,2500940,"Olympique Marseille - Bordeaux, 1 - 0",Regular,412,home,3771,1,away,3772,0
Played,26,181189,2018-02-18 16:00:00,0,Stade Pierre-Mauroy,2500939,"Lille - Olympique Lyonnais, 2 - 2",Regular,412,away,3766,2,home,3776,2
Played,26,181189,2018-02-18 14:00:00,0,Allianz Riviera,2500943,"Nice - Nantes, 1 - 1",Regular,412,home,3775,1,away,3770,1
Played,26,181189,2018-02-17 19:00:00,0,Stade de la Licorne,2500936,"Amiens SC - Toulouse, 0 - 0",Regular,412,home,3789,0,away,3780,0
Played,26,181189,2018-02-17 19:00:00,3782,Stade Raymond Kopa,2500937,"Angers SCO - Saint-\u00c9tienne, 0 - 1",Regular,412,home,3799,0,away,3782,1
Played,26,181189,2018-02-17 19:00:00,0,Stade Michel d'Ornano,2500938,"Caen - Rennes, 2 - 2",Regular,412,home,3783,2,away,3774,2
Played,26,181189,2018-02-17 19:00:00,0,Stade de la Mosson,2500942,"Montpellier - Guingamp, 1 - 1",Regular,412,home,3787,1,away,3785,1
Played,26,181189,2018-02-17 19:00:00,3795,Stade de l'Aube,2500945,"Troyes - Metz, 1 - 0",Regular,412,away,3777,0,home,3795,1
Played,26,181189,2018-02-17 16:00:00,3767,Parc des Princes,2500944,"PSG - Strasbourg, 5 - 2",Regular,412,home,3767,5,away,3779,2
Played,26,181189,2018-02-16 19:45:00,19830,Stade Louis II.,2500941,"Monaco - Dijon, 4 - 0",Regular,412,away,3804,0,home,19830,4
Played,25,181189,2018-02-11 20:00:00,3774,Groupama Stadium,2500930,"Olympique Lyonnais - Rennes, 0 - 2",Regular,412,home,3766,0,away,3774,2
Played,25,181189,2018-02-11 16:00:00,0,Stade de la Beaujoire - Louis Fonteneau,2500932,"Nantes - Lille, 2 - 2",Regular,412,home,3770,2,away,3776,2
Played,25,181189,2018-02-11 14:00:00,3779,Stade de la Meinau,2500934,"Strasbourg - Troyes, 2 - 1",Regular,412,home,3779,2,away,3795,1
Played,25,181189,2018-02-10 19:00:00,19830,Stade Raymond Kopa,2500926,"Angers SCO - Monaco, 0 - 4",Regular,412,home,3799,0,away,19830,4
Played,25,181189,2018-02-10 19:00:00,3772,Stade Matmut-Atlantique,2500927,"Bordeaux - Amiens SC, 3 - 2",Regular,412,away,3789,2,home,3772,3
Played,25,181189,2018-02-10 19:00:00,3804,Stade Gaston-G\u00e9rard,2500928,"Dijon - Nice, 3 - 2",Regular,412,home,3804,3,away,3775,2
Played,25,181189,2018-02-10 19:00:00,0,Stade du Roudourou,2500929,"Guingamp - Caen, 0 - 0",Regular,412,away,3783,0,home,3785,0
Played,25,181189,2018-02-10 19:00:00,3787,Stade Saint-Symphorien,2500931,"Metz - Montpellier, 0 - 1",Regular,412,home,3777,0,away,3787,1
Played,25,181189,2018-02-10 16:00:00,3767,Stadium Municipal,2500935,"Toulouse - PSG, 0 - 1",Regular,412,away,3767,1,home,3780,0
Played,25,181189,2018-02-09 19:45:00,0,Stade Geoffroy-Guichard,2500933,"Saint-\u00c9tienne - Olympique Marseille, 2 - 2",Regular,412,away,3771,2,home,3782,2
Played,24,181189,2018-02-04 20:00:00,19830,Stade Louis II.,2500920,"Monaco - Olympique Lyonnais, 3 - 2",Regular,412,away,3766,2,home,19830,3
Played,24,181189,2018-02-04 16:00:00,3783,Stade Michel d'Ornano,2500917,"Caen - Nantes, 3 - 2",Regular,412,home,3783,3,away,3770,2
Played,24,181189,2018-02-04 14:00:00,3785,Roazhon Park,2500923,"Rennes - Guingamp, 0 - 1",Regular,412,home,3774,0,away,3785,1
Played,24,181189,2018-02-03 19:00:00,3782,Stade de la Licorne,2500916,"Amiens SC - Saint-\u00c9tienne, 0 - 2",Regular,412,home,3789,0,away,3782,2
Played,24,181189,2018-02-03 19:00:00,3787,Stade de la Mosson,2500921,"Montpellier - Angers SCO, 2 - 1",Regular,412,away,3799,1,home,3787,2
Played,24,181189,2018-02-03 19:00:00,3780,Allianz Riviera,2500922,"Nice - Toulouse, 0 - 1",Regular,412,home,3775,0,away,3780,1
Played,24,181189,2018-02-03 19:00:00,3772,Stade de la Meinau,2500924,"Strasbourg - Bordeaux, 0 - 2",Regular,412,away,3772,2,home,3779,0
Played,24,181189,2018-02-03 16:00:00,3767,Stade Pierre-Mauroy,2500918,"Lille - PSG, 0 - 3",Regular,412,away,3767,3,home,3776,0
Played,24,181189,2018-02-02 19:45:00,3771,Stade V\u00e9lodrome,2500919,"Olympique Marseille - Metz, 6 - 3",Regular,412,home,3771,6,away,3777,3
Played,23,181189,2018-01-28 20:00:00,0,Stade V\u00e9lodrome,2500911,"Olympique Marseille - Monaco, 2 - 2",Regular,412,home,3771,2,away,19830,2
Played,23,181189,2018-01-28 16:00:00,3772,Stade Matmut-Atlantique,2500907,"Bordeaux - Olympique Lyonnais, 3 - 1",Regular,412,away,3766,1,home,3772,3
Played,23,181189,2018-01-28 14:00:00,3776,Stade Pierre-Mauroy,2500910,"Lille - Strasbourg, 2 - 1",Regular,412,away,3779,1,home,3776,2
Played,23,181189,2018-01-27 19:00:00,3799,Stade Raymond Kopa,2500906,"Angers SCO - Amiens SC, 1 - 0",Regular,412,home,3799,1,away,3789,0
Played,23,181189,2018-01-27 19:00:00,3770,Stade du Roudourou,2500909,"Guingamp - Nantes, 0 - 3",Regular,412,away,3770,3,home,3785,0
Played,23,181189,2018-01-27 19:00:00,3777,Stade Saint-Symphorien,2500912,"Metz - Nice, 2 - 1",Regular,412,away,3775,1,home,3777,2
Played,23,181189,2018-01-27 19:00:00,3782,Stade Geoffroy-Guichard,2500914,"Saint-\u00c9tienne - Caen, 2 - 1",Regular,412,away,3783,1,home,3782,2
Played,23,181189,2018-01-27 19:00:00,3780,Stadium Municipal,2500915,"Toulouse - Troyes, 1 - 0",Regular,412,home,3780,1,away,3795,0
Played,23,181189,2018-01-27 16:00:00,3767,Parc des Princes,2500913,"PSG - Montpellier, 4 - 0",Regular,412,home,3767,4,away,3787,0
Played,23,181189,2018-01-26 19:45:00,3804,Stade Gaston-G\u00e9rard,2500908,"Dijon - Rennes, 2 - 1",Regular,412,home,3804,2,away,3774,1
Played,22,181189,2018-01-21 20:00:00,3766,Groupama Stadium,2500898,"Olympique Lyonnais - PSG, 2 - 1",Regular,412,away,3767,1,home,3766,2
