currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2457,1992,DEF,15125,M. Plattenhardt,3148
9417,1989,FWD,15199,M. Gavranovi\u0107,6697
11042,1984,DEF,15214,A. Rukavina,17322
13559,1985,MID,15282,S. Peszko,13869
12062,1992,MID,146459,M. Meza,12274
2446,1996,MID,146583,J. Brandt,3148
3775,1997,MID,408827,B. Srarfi,16276
12444,1987,GKP,57226,H. Halld\u00f3rsson,7839
10,1997,FWD,216568,A. Gudmundsson,7839
2481,1989,MID,15781,Ja-Cheol Koo,14855
1612,1991,FWD,15808,Roberto Firmino,6380
2444,1990,MID,15811,S. Rudy,3148
2446,1995,DEF,212604,T. Jedvaj,9598
2448,1988,FWD,16151,R. Kruse,8493
16470,1988,DEF,114617,C. Ramos,15594
4498,1990,MID,114624,P. Hurtado,15594
-1,1979,DEF,101583,S. Ignashevich,14358
9,1997,FWD,281254,K. Dolberg,7712
713,1990,DEF,114709,L. Adv\u00edncula,15594
14072,1991,MID,114813,C. Cueva,15594
11,1995,FWD,295156,H. Lozano,15473
5640,1994,MID,213364,G. De Arrascaeta,15670
2454,1988,GKP,49855,Y. Sommer,6697
14773,1987,DEF,49862,Joo-Ho Park,14855
1612,1991,MID,49872,X. Shaqiri,6697
1609,1992,MID,49876,G. Xhaka,6697
2454,1991,DEF,49977,M. Lang,6697
2454,1992,FWD,50023,J. Drmic,6697
1613,1991,DEF,50102,F. Sch\u00e4r,6697
13886,1990,DEF,41123,M\u00e1rio Fernandes,14358
13886,1990,MID,101590,A. Dzagoev,14358
679,1996,DEF,279545,L. Hern\u00e1ndez,4418
3787,1995,MID,246946,E. Skhiri,16276
1612,1992,GKP,214220,Alisson,6380
15633,1993,DEF,116166,G. Varela,15670
3775,1995,GKP,149050,M. Hassen,16276
4487,1986,MID,149074,N. Dirar,16216
3158,1990,GKP,50798,R. Olsen,7047
3780,1989,MID,50812,J. Durmaz,7047
3161,1991,MID,116349,M. Vecino,15670
4522,1988,MID,51004,C. Borges,16871
3789,1994,DEF,51064,E. Krafth,7047
